Country Name,Athlete,Gender,Event,Medal
Sweden,"ALBERTSSON, Bertil",Men,10000M,Bronze
Czechoslovakia- Prior 1992,"ZATOPEK, Emil",Men,10000M,Gold
France,"MIMOUN, Alain",Men,10000M,Silver
Switzerland,"SCHWAB, Erich Arthur Fritz",Men,10000M Walk,Bronze
Sweden,"MIKAELSSON, John",Men,10000M Walk,Gold
Sweden,"JOHANSSON, Ingemar",Men,10000M Walk,Silver
Panama,"LABEACH, Lloyd",Men,100M,Bronze
United States,"DILLARD, Harrison",Men,100M,Gold
United States,"EWELL, Harold Norwood",Men,100M,Silver
Australia,"STRICKLAND-DE LA HUNTY, Shirley",Women,100M,Bronze
Netherlands,"BLANKERS-KOEN, Fanny",Women,100M,Gold
United Kingdom,"MANLEY, Dorothy Gladys",Women,100M,Silver
United States,"DIXON, Craig",Men,110M Hurdles,Bronze
United States,"PORTER, William Franklin III",Men,110M Hurdles,Gold
United States,"SCOTT, Clyde",Men,110M Hurdles,Silver
Netherlands,"SLIJKHUIS, Willem",Men,1500M,Bronze
Sweden,"ERIKSSON, Henry",Men,1500M,Gold
Sweden,"STRAND, Lennart",Men,1500M,Silver
Panama,"LABEACH, Lloyd",Men,200M,Bronze
United States,"PATTON, Melvin Emery",Men,200M,Gold
United States,"EWELL, Harold Norwood",Men,200M,Silver
United States,"PATTERSON, Audrey Mickey",Women,200M,Bronze
Netherlands,"BLANKERS-KOEN, Fanny",Women,200M,Gold
United Kingdom,"WILLIAMSON, Audrey Doreen Swayne",Women,200M,Silver
Sweden,"HAGSTRÖM, Göte",Men,3000M Steeplechase,Bronze
Sweden,"SJÖSTRAND, Tore",Men,3000M Steeplechase,Gold
Sweden,"ELMSATER, Erik",Men,3000M Steeplechase,Silver
United States,"WHITFIELD, Malvin Groston",Men,400M,Bronze
Jamaica,"WINT, Arthur",Men,400M,Gold
Jamaica,"MCKENLEY, Herbert",Men,400M,Silver
Sweden,"LARSSON, Rune",Men,400M Hurdles,Bronze
United States,"COCHRAN, Roy Braxton",Men,400M Hurdles,Gold
Sri Lanka,"WHITE, Duncan",Men,400M Hurdles,Silver
Netherlands,"SLIJKHUIS, Willem",Men,5000M,Bronze
Belgium,"REIFF, Gaston Etienne",Men,5000M,Gold
Czechoslovakia- Prior 1992,"ZATOPEK, Emil",Men,5000M,Silver
United Kingdom,"JOHNSON, Terence Lloyd",Men,50KM Walk,Bronze
Sweden,"LJUNGGREN, John Artur",Men,50KM Walk,Gold
Switzerland,"GODEL, Gaston",Men,50KM Walk,Silver
France,"HANSENNE, Marcel",Men,800M,Bronze
United States,"WHITFIELD, Malvin Groston",Men,800M,Gold
Jamaica,"WINT, Arthur",Men,800M,Silver
Australia,"STRICKLAND-DE LA HUNTY, Shirley",Women,80M Hurdles,Bronze
Netherlands,"BLANKERS-KOEN, Fanny",Women,80M Hurdles,Gold
United Kingdom,"GARDNER, Maureen Angela Jane",Women,80M Hurdles,Silver
United States,"SIMMONS, Floyd Macon Jr.",Men,Decathlon,Bronze
United States,"MATHIAS, Robert",Men,Decathlon,Gold
France,"HEINRICH, Ignace",Men,Decathlon,Silver
United States,"GORDIEN, Fortune Edward",Men,Discus Throw,Bronze
Italy,"CONSOLINI, Adolfo",Men,Discus Throw,Gold
Italy,"TOSI, Giuseppe",Men,Discus Throw,Silver
France,"MAZEAS, Jacqueline",Women,Discus Throw,Bronze
France,"OSTERMEYER, Micheline",Women,Discus Throw,Gold
Italy,"CORDIALE-GENTILE, Edera",Women,Discus Throw,Silver
United States,"BENNETT, Robert Howard",Men,Hammer Throw,Bronze
Hungary,"NEMETH, Imre",Men,Hammer Throw,Gold
Yugoslavia,"GUBIJAN, Ivan",Men,Hammer Throw,Silver
United States,"STANICH, George Anthony",Men,High Jump,Bronze
Australia,"WINTER, John",Men,High Jump,Gold
Norway,"PAULSON, Bjorn Andreas",Men,High Jump,Silver
France,"OSTERMEYER, Micheline",Women,High Jump,Bronze
United States,"COACHMAN, Alice Marie",Women,High Jump,Gold
United Kingdom,"ODAM-TYLER, Dorothy Beatrice J.",Women,High Jump,Silver
Hungary,"VARSZEGI, Jozsef",Men,Javelin Throw,Bronze
Finland,"RAUTAVAARA, Kaj Tapio",Men,Javelin Throw,Gold
United States,"SEYMOUR, Stephen Andrew",Men,Javelin Throw,Silver
Denmark,"CARLSTEDT-KELSBY, Lily Marie Louise",Women,Javelin Throw,Bronze
Austria,"BAUMA, Hermine (Herma)",Women,Javelin Throw,Gold
Finland,"PARVIAINEN, Kaisa",Women,Javelin Throw,Silver
United States,"DOUGLAS, Herbert Paul Jr.",Men,Long Jump,Bronze
United States,"STEELE, William Samuel",Men,Long Jump,Gold
Australia,"BRUCE, Thomas Theodore",Men,Long Jump,Silver
Sweden,"LEYMAN, Ann-Britt",Women,Long Jump,Bronze
Hungary,"GYARMATI, Olga",Women,Long Jump,Gold
Argentina,"SIMONETTO DE PORTELA, Noemi",Women,Long Jump,Silver
Belgium,"GAILLY, Etienne",Men,Marathon,Bronze
Argentina,"CABRERA, Delfo",Men,Marathon,Gold
United Kingdom,"RICHARDS, Thomas John Henry",Men,Marathon,Silver
United States,"RICHARDS, Robert",Men,Pole Vault,Bronze
United States,"SMITH, Owen Guinn",Men,Pole Vault,Gold
Finland,"KATAJA, Erkki Olavi",Men,Pole Vault,Silver
United States,"FUCHS, James Emanuel",Men,Shot Put,Bronze
United States,"THOMPSON, Wilbur Marvin",Men,Shot Put,Gold
United States,"DELANEY, Francis James",Men,Shot Put,Silver
Austria,"SCHÄFFER-MAYER, Ine",Women,Shot Put,Bronze
France,"OSTERMEYER, Micheline",Women,Shot Put,Gold
Italy,"PICCININI, Amelia",Women,Shot Put,Silver
Turkey,"SARIALP, Ruhi",Men,Triple Jump,Bronze
Sweden,"AHMAN, Arne",Men,Triple Jump,Gold
Australia,"AVERY, George Gordon",Men,Triple Jump,Silver
USSR-Prior 1992,"ANUFRIYEV, Aleksandr",Men,10000M,Bronze
Czechoslovakia- Prior 1992,"ZATOPEK, Emil",Men,10000M,Gold
France,"MIMOUN, Alain",Men,10000M,Silver
USSR-Prior 1992,"JUNK, Bruno",Men,10000M Walk,Bronze
Sweden,"MIKAELSSON, John",Men,10000M Walk,Gold
Switzerland,"SCHWAB, Erich Arthur Fritz",Men,10000M Walk,Silver
United Kingdom,"BAILEY, Emmanuel Mcdonald",Men,100M,Bronze
United States,"REMIGINO, Lindy",Men,100M,Gold
Jamaica,"MCKENLEY, Herbert",Men,100M,Silver
Australia,"STRICKLAND-DE LA HUNTY, Shirley",Women,100M,Bronze
Australia,"JACKSON, Marjorie",Women,100M,Gold
South Africa,"ROBB-HASENJÄGER, Daphne Lilian Evelyn",Women,100M,Silver
United States,"BARNARD, Arthur",Men,110M Hurdles,Bronze
United States,"DILLARD, Harrison",Men,110M Hurdles,Gold
United States,"DAVIS, Jack",Men,110M Hurdles,Silver
Germany,"LUEG, Werner",Men,1500M,Bronze
Luxembourg,"BARTHEL, Joseph",Men,1500M,Gold
United States,"MCMILLEN, Robert",Men,1500M,Silver
United States,"GATHERS, James",Men,200M,Bronze
United States,"STANFIELD, Andrew William",Men,200M,Gold
United States,"BAKER, Walter Thane",Men,200M,Silver
USSR-Prior 1992,"KHNYKINA-DVALISHVILI, Nadezhda",Women,200M,Bronze
Australia,"JACKSON, Marjorie",Women,200M,Gold
Netherlands,"BROUWER, Bertha",Women,200M,Silver
United Kingdom,"DISLEY, John Ivor",Men,3000M Steeplechase,Bronze
United States,"ASHENFELTER, Horace III",Men,3000M Steeplechase,Gold
USSR-Prior 1992,"KAZANTSEV, Vladimir",Men,3000M Steeplechase,Silver
United States,"MATSON, Oliver Adrian",Men,400M,Bronze
Jamaica,"RHODEN, Vincent George",Men,400M,Gold
Jamaica,"MCKENLEY, Herbert",Men,400M,Silver
New Zealand,"HOLLAND, John Macfarlane",Men,400M Hurdles,Bronze
United States,"MOORE, Charles Hewes Jr.",Men,400M Hurdles,Gold
USSR-Prior 1992,"LITUEV, Yuri",Men,400M Hurdles,Silver
Germany,"SCHADE, Herbert",Men,5000M,Bronze
Czechoslovakia- Prior 1992,"ZATOPEK, Emil",Men,5000M,Gold
France,"MIMOUN, Alain",Men,5000M,Silver
Hungary,"ROKA, Antal",Men,50KM Walk,Bronze
Italy,"DORDONI, Giuseppe",Men,50KM Walk,Gold
Czechoslovakia- Prior 1992,"DOLEZAL, Josef",Men,50KM Walk,Silver
Germany,"ULZHEIMER, Heinz",Men,800M,Bronze
United States,"WHITFIELD, Malvin Groston",Men,800M,Gold
Jamaica,"WINT, Arthur",Men,800M,Silver
Germany,"SANDER-DOMAGELLA, Maria",Women,80M Hurdles,Bronze
Australia,"STRICKLAND-DE LA HUNTY, Shirley",Women,80M Hurdles,Gold
USSR-Prior 1992,"GOLUBNICHAYA, Mariya",Women,80M Hurdles,Silver
United States,"SIMMONS, Floyd Macon Jr.",Men,Decathlon,Bronze
United States,"MATHIAS, Robert",Men,Decathlon,Gold
United States,"CAMPBELL, Milton Gray",Men,Decathlon,Silver
United States,"DILLION, James Leo",Men,Discus Throw,Bronze
United States,"INESS, Simeon Garland",Men,Discus Throw,Gold
Italy,"CONSOLINI, Adolfo",Men,Discus Throw,Silver
USSR-Prior 1992,"DUMBADZE, Nina",Women,Discus Throw,Bronze
USSR-Prior 1992,"ROMASHKOVA-PONOMAREVA, Nina",Women,Discus Throw,Gold
USSR-Prior 1992,"BAGRYANTSEVA, Elizaveta",Women,Discus Throw,Silver
Hungary,"NEMETH, Imre",Men,Hammer Throw,Bronze
Hungary,"CSERMAK, Jozsef",Men,Hammer Throw,Gold
Germany,"STORCH, Karl",Men,Hammer Throw,Silver
Brazil,"TELLES DA CONCEICAO, Jose",Men,High Jump,Bronze
United States,"DAVIS, Walter Francis",Men,High Jump,Gold
United States,"WIESNER, Kenneth George",Men,High Jump,Silver
USSR-Prior 1992,"CHUDINA, Aleksandra",Women,High Jump,Bronze
South Africa,"BRAND, Esther Cornelia",Women,High Jump,Gold
United Kingdom,"LERWILL, Sheila",Women,High Jump,Silver
Finland,"HYYTIÄINEN, Toivo Armas",Men,Javelin Throw,Bronze
United States,"YOUNG, Cyrus C. Jr.",Men,Javelin Throw,Gold
United States,"MILLER, William Preston",Men,Javelin Throw,Silver
USSR-Prior 1992,"GORCHAKOVA, Elena",Women,Javelin Throw,Bronze
Czechoslovakia- Prior 1992,"INGROVA-ZATOPKOVA, Dana",Women,Javelin Throw,Gold
USSR-Prior 1992,"CHUDINA, Aleksandra",Women,Javelin Throw,Silver
Hungary,"FÖLDESSY, Ödön",Men,Long Jump,Bronze
United States,"BIFFLE, Jerome Cousins",Men,Long Jump,Gold
United States,"GOURDINE, Meredith Charles",Men,Long Jump,Silver
United Kingdom,"CAWLEY, Shirley",Women,Long Jump,Bronze
New Zealand,"WILLIAMS, Yvette Winefred",Women,Long Jump,Gold
USSR-Prior 1992,"CHUDINA, Aleksandra",Women,Long Jump,Silver
Sweden,"JANSSON, Gustaf",Men,Marathon,Bronze
Czechoslovakia- Prior 1992,"ZATOPEK, Emil",Men,Marathon,Gold
Argentina,"GORNO, Reinaldo",Men,Marathon,Silver
Sweden,"LUNDBERG, Ragnar",Men,Pole Vault,Bronze
United States,"RICHARDS, Robert",Men,Pole Vault,Gold
United States,"LAZ, Donald Robert",Men,Pole Vault,Silver
United States,"FUCHS, James Emanuel",Men,Shot Put,Bronze
United States,"O, William Patrick Jr.",Men,Shot Put,Gold
United States,"HOOPER, Darrow Clarence",Men,Shot Put,Silver
USSR-Prior 1992,"TOCHENOVA, Klavdiya",Women,Shot Put,Bronze
USSR-Prior 1992,"ZYBINA, Galina",Women,Shot Put,Gold
Germany,"WERNER-SCHULZE-ENTRUP, Marianne",Women,Shot Put,Silver
Venezuela,"DEVONISH, Arnaldo",Men,Triple Jump,Bronze
Brazil,"FERREIRA DA SILVA, Adhemar",Men,Triple Jump,Gold
USSR-Prior 1992,"SHCHERBAKOV, Leonid",Men,Triple Jump,Silver
Australia,"LAWRENCE, Allan",Men,10000M,Bronze
USSR-Prior 1992,"KUTS, Vladimir",Men,10000M,Gold
Hungary,"KOVACS, Jozsef",Men,10000M,Silver
Australia,"HOGAN, Hector",Men,100M,Bronze
United States,"MORROW, Robert Joseph",Men,100M,Gold
United States,"BAKER, Walter Thane",Men,100M,Silver
Australia,"MATHEWS-O'SHEA, Marlene Judith",Women,100M,Bronze
Australia,"CUTHBERT, Betty",Women,100M,Gold
Austria- pre AUT,"STUBNICK, Christa",Women,100M,Silver
United States,"SHANKLE, Joel",Men,110M Hurdles,Bronze
United States,"CALHOUN, Lee",Men,110M Hurdles,Gold
United States,"DAVIS, Jack",Men,110M Hurdles,Silver
Australia,"LANDY, John",Men,1500M,Bronze
Ireland,"DELANY, Ronald Michael",Men,1500M,Gold
Austria- pre AUT,"RICHTZENHAIN, Klaus",Men,1500M,Silver
United States,"BAKER, Walter Thane",Men,200M,Bronze
United States,"MORROW, Robert Joseph",Men,200M,Gold
United States,"STANFIELD, Andrew William",Men,200M,Silver
Australia,"MATHEWS-O'SHEA, Marlene Judith",Women,200M,Bronze
Australia,"CUTHBERT, Betty",Women,200M,Gold
Austria- pre AUT,"STUBNICK, Christa",Women,200M,Silver
USSR-Prior 1992,"JUNK, Bruno",Men,20KM Walk,Bronze
USSR-Prior 1992,"SPIRIN, Leonid",Men,20KM Walk,Gold
USSR-Prior 1992,"MIKENAS, Antanas",Men,20KM Walk,Silver
Norway,"LARSEN, Ernst",Men,3000M Steeplechase,Bronze
United Kingdom,"BRASHER, Christopher William",Men,3000M Steeplechase,Gold
Hungary,"ROZSNYOI, Sandor",Men,3000M Steeplechase,Silver
Finland,"HELLSTEN, Voitto Valdemar",Men,400M,Bronze
USSR-Prior 1992,"IGNATYEV, Ardalion",Men,400M,Bronze
United States,"JENKINS, Charles Lamont",Men,400M,Gold
Austria- pre AUT,"HAAS, Karl-Friedrich",Men,400M,Silver
United States,"CULBREATH, Joshua",Men,400M Hurdles,Bronze
United States,"DAVIS, Glenn Ashby",Men,400M Hurdles,Gold
United States,"SOUTHERN, Silas Edward",Men,400M Hurdles,Silver
United Kingdom,"IBBOTSON, George Derek",Men,5000M,Bronze
USSR-Prior 1992,"KUTS, Vladimir",Men,5000M,Gold
United Kingdom,"PIRIE, Douglas A.Gordon",Men,5000M,Silver
Sweden,"LJUNGGREN, John Artur",Men,50KM Walk,Bronze
New Zealand,"READ, Norman Richard",Men,50KM Walk,Gold
USSR-Prior 1992,"MASKINSKOV, Yevgeni",Men,50KM Walk,Silver
Norway,"BOYSEN, Audun",Men,800M,Bronze
United States,"COURTNEY, Thomas William",Men,800M,Gold
United Kingdom,"JOHNSON, Derek James Neville",Men,800M,Silver
Australia,"THROWER-AUSTIN, Norma Claire",Women,80M Hurdles,Bronze
Australia,"STRICKLAND-DE LA HUNTY, Shirley",Women,80M Hurdles,Gold
Austria- pre AUT,"KÖHLER-BIRKEMEYER, Gisela",Women,80M Hurdles,Silver
USSR-Prior 1992,"KUZNETSOV, Vasili",Men,Decathlon,Bronze
United States,"CAMPBELL, Milton Gray",Men,Decathlon,Gold
United States,"JOHNSON, Rafer Lewis",Men,Decathlon,Silver
United States,"KOCH, Desmond Dalworth",Men,Discus Throw,Bronze
United States,"OERTER, Alfred",Men,Discus Throw,Gold
United States,"GORDIEN, Fortune Edward",Men,Discus Throw,Silver
USSR-Prior 1992,"ROMASHKOVA-PONOMAREVA, Nina",Women,Discus Throw,Bronze
Czechoslovakia- Prior 1992,"FIKOTOVA-CONNOLLY, Olga",Women,Discus Throw,Gold
USSR-Prior 1992,"BEGLYAKOVA, Irina",Women,Discus Throw,Silver
USSR-Prior 1992,"SAMOTSVETOV, Anatoli",Men,Hammer Throw,Bronze
United States,"CONNOLLY, Harold Vincent",Men,Hammer Throw,Gold
USSR-Prior 1992,"KRIVONOSOV, Mikhail",Men,Hammer Throw,Silver
USSR-Prior 1992,"KASHKAROV, Igor",Men,High Jump,Bronze
United States,"DUMAS, Charles Everett",Men,High Jump,Gold
Australia,"PORTER, Charles Michael",Men,High Jump,Silver
United States,"MCDANIEL, Mildred Louise",Women,High Jump,Gold
United Kingdom,"HOPKINS, Thelma Elizabeth",Women,High Jump,Silver
USSR-Prior 1992,"PISSAREVA, Mariya",Women,High Jump,Silver
USSR-Prior 1992,"TSYBULENKO, Viktor",Men,Javelin Throw,Bronze
Norway,"DANIELSEN, Egil",Men,Javelin Throw,Gold
Poland,"SIDLO, Janusz",Men,Javelin Throw,Silver
USSR-Prior 1992,"KONYAEVA, Nadezhda",Women,Javelin Throw,Bronze
USSR-Prior 1992,"YAUNZEME, Inese",Women,Javelin Throw,Gold
Chile,"AHRENS, Marlene",Women,Javelin Throw,Silver
Finland,"VALKAMA, Jorma Rainer",Men,Long Jump,Bronze
United States,"BELL, Gregory Curtis",Men,Long Jump,Gold
United States,"BENNETT, John Dale",Men,Long Jump,Silver
USSR-Prior 1992,"KHNYKINA-DVALISHVILI, Nadezhda",Women,Long Jump,Bronze
Poland,"DUNSKA-KRZESINSKA, Elzbieta",Women,Long Jump,Gold
United States,"WHITE, Willie B.",Women,Long Jump,Silver
Finland,"KARVONEN, Veikko Leo",Men,Marathon,Bronze
France,"MIMOUN, Alain",Men,Marathon,Gold
Yugoslavia,"MIHALIC, Franjo",Men,Marathon,Silver
Greece,"ROUBANIS, Georgios",Men,Pole Vault,Bronze
United States,"RICHARDS, Robert",Men,Pole Vault,Gold
United States,"GUTOWSKI, Robert Allen",Men,Pole Vault,Silver
Czechoslovakia- Prior 1992,"SKOBLA, Jiri",Men,Shot Put,Bronze
United States,"O, William Patrick Jr.",Men,Shot Put,Gold
United States,"NIEDER, William Henry",Men,Shot Put,Silver
Austria- pre AUT,"WERNER-SCHULZE-ENTRUP, Marianne",Women,Shot Put,Bronze
USSR-Prior 1992,"TYSHKEVICH, Tamara",Women,Shot Put,Gold
USSR-Prior 1992,"ZYBINA, Galina",Women,Shot Put,Silver
USSR-Prior 1992,"KREER, Vitold",Men,Triple Jump,Bronze
Brazil,"FERREIRA DA SILVA, Adhemar",Men,Triple Jump,Gold
Iceland,"EINARSSON, Vilhjalmur",Men,Triple Jump,Silver
Australia,"POWER, David",Men,10000M,Bronze
USSR-Prior 1992,"BOLOTNIKOV, Pyotr",Men,10000M,Gold
Austria- pre AUT,"GRODOTZKI, Hans",Men,10000M,Silver
United Kingdom,"RADFORD, Peter",Men,100M,Bronze
Austria- pre AUT,"HARY, Armin",Men,100M,Gold
United States,"SIME, David",Men,100M,Silver
Italy,"LEONE, Giuseppina",Women,100M,Bronze
United States,"RUDOLPH, Wilma",Women,100M,Gold
United Kingdom,"HYMAN, Dorothy",Women,100M,Silver
United States,"JONES, Hayes",Men,110M Hurdles,Bronze
United States,"CALHOUN, Lee",Men,110M Hurdles,Gold
United States,"MAY, William Lee",Men,110M Hurdles,Silver
Hungary,"ROSZAVÖLGYI, Istvan",Men,1500M,Bronze
Australia,"ELLIOTT, Herbert",Men,1500M,Gold
France,"JAZY, Michel",Men,1500M,Silver
France,"SEYE, Abdoulaye",Men,200M,Bronze
Italy,"BERRUTI, Livio",Men,200M,Gold
United States,"CARNEY, Lester Nelson",Men,200M,Silver
United Kingdom,"HYMAN, Dorothy",Women,200M,Bronze
United States,"RUDOLPH, Wilma",Women,200M,Gold
Austria- pre AUT,"HEINE, Judith (Jutta)",Women,200M,Silver
United Kingdom,"VICKERS, Stanley Frank",Men,20KM Walk,Bronze
USSR-Prior 1992,"GOLUBNICHY, Vladimir",Men,20KM Walk,Gold
Australia,"FREEMAN, Noel Frederick",Men,20KM Walk,Silver
USSR-Prior 1992,"RZHISCHIN, Semen",Men,3000M Steeplechase,Bronze
Poland,"KRZYSZKOWIAK, Zdzislaw",Men,3000M Steeplechase,Gold
USSR-Prior 1992,"SOKOLOV, Nikolai",Men,3000M Steeplechase,Silver
South Africa,"SPENCE, Malcolm Clive",Men,400M,Bronze
United States,"DAVIS, Otis Crandall",Men,400M,Gold
Austria- pre AUT,"KAUFMANN, Carl",Men,400M,Silver
United States,"HOWARD, Richard Wayne",Men,400M Hurdles,Bronze
United States,"DAVIS, Glenn Ashby",Men,400M Hurdles,Gold
United States,"CUSHMAN, Clifton Emmett",Men,400M Hurdles,Silver
Poland,"ZIMNY, Kazimierz",Men,5000M,Bronze
New Zealand,"HALBERG, Murray Gordon",Men,5000M,Gold
Austria- pre AUT,"GRODOTZKI, Hans",Men,5000M,Silver
Italy,"PAMICH, Abdon",Men,50KM Walk,Bronze
United Kingdom,"THOMPSON, Donald James",Men,50KM Walk,Gold
Sweden,"LJUNGGREN, John Artur",Men,50KM Walk,Silver
,"KERR, George Ezekiel",Men,800M,Bronze
New Zealand,"SNELL, Peter",Men,800M,Gold
Belgium,"MOENS, Roger",Men,800M,Silver
Austria- pre AUT,"DONATH, Ursula",Women,800M,Bronze
USSR-Prior 1992,"LISENKO-SHEVTSOVA, Lyudmila",Women,800M,Gold
Australia,"JONES-CARR, Brenda",Women,800M,Silver
Austria- pre AUT,"KÖHLER-BIRKEMEYER, Gisela",Women,80M Hurdles,Bronze
USSR-Prior 1992,"PRESS, Iryna",Women,80M Hurdles,Gold
United Kingdom,"QUINTON, Carole Louis",Women,80M Hurdles,Silver
USSR-Prior 1992,"KUZNETSOV, Vasili",Men,Decathlon,Bronze
United States,"JOHNSON, Rafer Lewis",Men,Decathlon,Gold
Taiwan,"YANG, Chuan-Kwang",Men,Decathlon,Silver
United States,"COCHRAN, Richard Lee",Men,Discus Throw,Bronze
United States,"OERTER, Alfred",Men,Discus Throw,Gold
United States,"BABKA, Richard Aldrich",Men,Discus Throw,Silver
Romania,"MANOLIU, Lia",Women,Discus Throw,Bronze
USSR-Prior 1992,"ROMASHKOVA-PONOMAREVA, Nina",Women,Discus Throw,Gold
USSR-Prior 1992,"PRESS, Tamara",Women,Discus Throw,Silver
Poland,"RUT, Tadeusz",Men,Hammer Throw,Bronze
USSR-Prior 1992,"RUDENKOV, Vasili",Men,Hammer Throw,Gold
Hungary,"ZSIVOTZKY, Gyula",Men,Hammer Throw,Silver
United States,"THOMAS, John Curtis",Men,High Jump,Bronze
USSR-Prior 1992,"SHAVLAKADZE, Robert",Men,High Jump,Gold
USSR-Prior 1992,"BRUMEL, Valeri",Men,High Jump,Silver
Romania,"BALAS, Iolanda",Women,High Jump,Gold
Poland,"JOZWIAKOWSKA-BIEDA, Jaroslawa",Women,High Jump,Silver
United Kingdom,"SHIRLEY, Dorothy Ada",Women,High Jump,Silver
Hungary,"KULCSAR, Gergely",Men,Javelin Throw,Bronze
USSR-Prior 1992,"TSYBULENKO, Viktor",Men,Javelin Throw,Gold
Austria- pre AUT,"KRÜGER, Walter",Men,Javelin Throw,Silver
USSR-Prior 1992,"ZALOGAJTITE-KALEDENE, Birute",Women,Javelin Throw,Bronze
USSR-Prior 1992,"OZOLINA, Elvira",Women,Javelin Throw,Gold
Czechoslovakia- Prior 1992,"INGROVA-ZATOPKOVA, Dana",Women,Javelin Throw,Silver
USSR-Prior 1992,"TER-OVANESYAN, Igor",Men,Long Jump,Bronze
United States,"BOSTON, Ralph Harold",Men,Long Jump,Gold
United States,"ROBERSON, Irvin",Men,Long Jump,Silver
Austria- pre AUT,"CLAUS-LAUFER, Hildrun",Women,Long Jump,Bronze
USSR-Prior 1992,"KOLASHNIKOVA-KREPKINA, Vera",Women,Long Jump,Gold
Poland,"DUNSKA-KRZESINSKA, Elzbieta",Women,Long Jump,Silver
New Zealand,"MAGEE, Arthur Barry",Men,Marathon,Bronze
Ethiopia,"BIKILA, Abebe",Men,Marathon,Gold
Morocco,"RHADI BEN ABDESSELEM, Abdesiem",Men,Marathon,Silver
Finland,"LANDSTRÖM, Eeles Enok",Men,Pole Vault,Bronze
