Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1992,Albertville,Skating,Speed skating,"VISSER, Leo",NED,Men,5000M,Bronze
1992,Albertville,Skating,Speed skating,"KARLSTAD, Geir",NOR,Men,5000M,Gold
1992,Albertville,Skating,Speed skating,"ZANDSTRA, Falko",NED,Men,5000M,Silver
1992,Albertville,Skating,Speed skating,"PECHSTEIN, Claudia",GER,Women,5000M,Bronze
1992,Albertville,Skating,Speed skating,"NIEMANN-STIRNEMANN, Gunda",GER,Women,5000M,Gold
1992,Albertville,Skating,Speed skating,"WARNICKE, Heike",GER,Women,5000M,Silver
1992,Albertville,Skating,Speed skating,"INOUE, Junichi",JPN,Men,500M,Bronze
1992,Albertville,Skating,Speed skating,"MEY, Uwe-Jens",GER,Men,500M,Gold
1992,Albertville,Skating,Speed skating,"KUROIWA, Toshiyuki",JPN,Men,500M,Silver
1992,Albertville,Skating,Speed skating,"LUDING, Christa",GER,Women,500M,Bronze
1992,Albertville,Skating,Speed skating,"BLAIR, Bonnie",USA,Women,500M,Gold
1992,Albertville,Skating,Speed skating,"YE, Qiaobo",CHN,Women,500M,Silver
1994,Lillehammer,Skating,Speed skating,"VELDKAMP, Bart",NED,Men,10000M,Bronze
1994,Lillehammer,Skating,Speed skating,"KOSS, Johann Olav",NOR,Men,10000M,Gold
1994,Lillehammer,Skating,Speed skating,"STORELID, Kjell",NOR,Men,10000M,Silver
1994,Lillehammer,Skating,Speed skating,"KLEVCHENYA, Sergey",RUS,Men,1000M,Bronze
1994,Lillehammer,Skating,Speed skating,"JANSEN, Daniel",USA,Men,1000M,Gold
1994,Lillehammer,Skating,Speed skating,"ZHELEZOVSKY, Igor",BLR,Men,1000M,Silver
1994,Lillehammer,Skating,Speed skating,"YE, Qiaobo",CHN,Women,1000M,Bronze
1994,Lillehammer,Skating,Speed skating,"BLAIR, Bonnie",USA,Women,1000M,Gold
1994,Lillehammer,Skating,Speed skating,"BAIER-LOEF, Anke",GER,Women,1000M,Silver
1994,Lillehammer,Skating,Speed skating,"ZANDSTRA, Falko",NED,Men,1500M,Bronze
1994,Lillehammer,Skating,Speed skating,"KOSS, Johann Olav",NOR,Men,1500M,Gold
1994,Lillehammer,Skating,Speed skating,"RITSMA, Rintje",NED,Men,1500M,Silver
1994,Lillehammer,Skating,Speed skating,"NIEMANN-STIRNEMANN, Gunda",GER,Women,1500M,Bronze
1994,Lillehammer,Skating,Speed skating,"HUNYADY, Emese",AUT,Women,1500M,Gold
1994,Lillehammer,Skating,Speed skating,"FEDOTKINA, Svetlana",RUS,Women,1500M,Silver
1994,Lillehammer,Skating,Speed skating,"PECHSTEIN, Claudia",GER,Women,3000M,Bronze
1994,Lillehammer,Skating,Speed skating,"BAJANOVA, Svetlana",RUS,Women,3000M,Gold
1994,Lillehammer,Skating,Speed skating,"HUNYADY, Emese",AUT,Women,3000M,Silver
1994,Lillehammer,Skating,Speed skating,"RITSMA, Rintje",NED,Men,5000M,Bronze
1994,Lillehammer,Skating,Speed skating,"KOSS, Johann Olav",NOR,Men,5000M,Gold
1994,Lillehammer,Skating,Speed skating,"STORELID, Kjell",NOR,Men,5000M,Silver
1994,Lillehammer,Skating,Speed skating,"YAMAMOTO, Hiromi",JPN,Women,5000M,Bronze
1994,Lillehammer,Skating,Speed skating,"PECHSTEIN, Claudia",GER,Women,5000M,Gold
1994,Lillehammer,Skating,Speed skating,"NIEMANN-STIRNEMANN, Gunda",GER,Women,5000M,Silver
1994,Lillehammer,Skating,Speed skating,"HORII, Manabu",JPN,Men,500M,Bronze
1994,Lillehammer,Skating,Speed skating,"GOLUBEV, Aleksandr",RUS,Men,500M,Gold
1994,Lillehammer,Skating,Speed skating,"KLEVCHENYA, Sergey",RUS,Men,500M,Silver
1994,Lillehammer,Skating,Speed skating,"SCHENK, Franziska",GER,Women,500M,Bronze
1994,Lillehammer,Skating,Speed skating,"BLAIR, Bonnie",USA,Women,500M,Gold
1994,Lillehammer,Skating,Speed skating,"AUCH, Susan",CAN,Women,500M,Silver
1998,Nagano,Skating,Speed skating,"RITSMA, Rintje",NED,Men,10000M,Bronze
1998,Nagano,Skating,Speed skating,"ROMME, Gianni",NED,Men,10000M,Gold
1998,Nagano,Skating,Speed skating,"de JONG, Bob",NED,Men,10000M,Silver
1998,Nagano,Skating,Speed skating,"SHIMIZU, Hiroyasu",JPN,Men,1000M,Bronze
1998,Nagano,Skating,Speed skating,"POSTMA, Ids",NED,Men,1000M,Gold
1998,Nagano,Skating,Speed skating,"BOS, Jan",NED,Men,1000M,Silver
1998,Nagano,Skating,Speed skating,"LEMAY DOAN, Catriona",CAN,Women,1000M,Bronze
1998,Nagano,Skating,Speed skating,"TIMMER, Marianne",NED,Women,1000M,Gold
1998,Nagano,Skating,Speed skating,"WITTY, Christine",USA,Women,1000M,Silver
1998,Nagano,Skating,Speed skating,"RITSMA, Rintje",NED,Men,1500M,Bronze
1998,Nagano,Skating,Speed skating,"SONDRAL, Adne",NOR,Men,1500M,Gold
1998,Nagano,Skating,Speed skating,"POSTMA, Ids",NED,Men,1500M,Silver
1998,Nagano,Skating,Speed skating,"WITTY, Christine",USA,Women,1500M,Bronze
1998,Nagano,Skating,Speed skating,"TIMMER, Marianne",NED,Women,1500M,Gold
1998,Nagano,Skating,Speed skating,"NIEMANN-STIRNEMANN, Gunda",GER,Women,1500M,Silver
1998,Nagano,Skating,Speed skating,"FRIESINGER-POSTMA, Anna",GER,Women,3000M,Bronze
1998,Nagano,Skating,Speed skating,"NIEMANN-STIRNEMANN, Gunda",GER,Women,3000M,Gold
1998,Nagano,Skating,Speed skating,"PECHSTEIN, Claudia",GER,Women,3000M,Silver
1998,Nagano,Skating,Speed skating,"VELDKAMP, Bart",BEL,Men,5000M,Bronze
1998,Nagano,Skating,Speed skating,"ROMME, Gianni",NED,Men,5000M,Gold
1998,Nagano,Skating,Speed skating,"RITSMA, Rintje",NED,Men,5000M,Silver
1998,Nagano,Skating,Speed skating,"PROKASHEVA, Lyudmila",KAZ,Women,5000M,Bronze
1998,Nagano,Skating,Speed skating,"PECHSTEIN, Claudia",GER,Women,5000M,Gold
1998,Nagano,Skating,Speed skating,"NIEMANN-STIRNEMANN, Gunda",GER,Women,5000M,Silver
1998,Nagano,Skating,Speed skating,"OVERLAND, Kevin",CAN,Men,500M,Bronze
1998,Nagano,Skating,Speed skating,"SHIMIZU, Hiroyasu",JPN,Men,500M,Gold
1998,Nagano,Skating,Speed skating,"WOTHERSPOON, Jeremy",CAN,Men,500M,Silver
1998,Nagano,Skating,Speed skating,"OKAZAKI, Tomomi",JPN,Women,500M,Bronze
1998,Nagano,Skating,Speed skating,"LEMAY DOAN, Catriona",CAN,Women,500M,Gold
1998,Nagano,Skating,Speed skating,"AUCH, Susan",CAN,Women,500M,Silver
2002,Salt Lake City,Skating,Speed skating,"SAETRE, Lasse",NOR,Men,10000M,Bronze
2002,Salt Lake City,Skating,Speed skating,"UYTDEHAAGE, Jochem",NED,Men,10000M,Gold
2002,Salt Lake City,Skating,Speed skating,"ROMME, Gianni",NED,Men,10000M,Silver
2002,Salt Lake City,Skating,Speed skating,"CHEEK, Joey",USA,Men,1000M,Bronze
2002,Salt Lake City,Skating,Speed skating,"VAN VELDE, Gerard",NED,Men,1000M,Gold
2002,Salt Lake City,Skating,Speed skating,"BOS, Jan",NED,Men,1000M,Silver
2002,Salt Lake City,Skating,Speed skating,"RODRIGUEZ, Jennifer",USA,Women,1000M,Bronze
2002,Salt Lake City,Skating,Speed skating,"WITTY, Chris",USA,Women,1000M,Gold
2002,Salt Lake City,Skating,Speed skating,"VOELKER, Sabine",GER,Women,1000M,Silver
2002,Salt Lake City,Skating,Speed skating,"SONDRAL, Adne",NOR,Men,1500M,Bronze
2002,Salt Lake City,Skating,Speed skating,"PARRA, Derek",USA,Men,1500M,Gold
2002,Salt Lake City,Skating,Speed skating,"UYTDEHAAGE, Jochem",NED,Men,1500M,Silver
2002,Salt Lake City,Skating,Speed skating,"RODRIGUEZ, Jennifer",USA,Women,1500M,Bronze
2002,Salt Lake City,Skating,Speed skating,"FRIESINGER-POSTMA, Anna",GER,Women,1500M,Gold
2002,Salt Lake City,Skating,Speed skating,"VOELKER, Sabine",GER,Women,1500M,Silver
2002,Salt Lake City,Skating,Speed skating,"KLASSEN, Cindy",CAN,Women,3000M,Bronze
2002,Salt Lake City,Skating,Speed skating,"PECHSTEIN, Claudia",GER,Women,3000M,Gold
2002,Salt Lake City,Skating,Speed skating,"GROENEWOLD, Renate",NED,Women,3000M,Silver
2002,Salt Lake City,Skating,Speed skating,"BODEN, Jens",GER,Men,5000M,Bronze
2002,Salt Lake City,Skating,Speed skating,"UYTDEHAAGE, Jochem",NED,Men,5000M,Gold
2002,Salt Lake City,Skating,Speed skating,"PARRA, Derek",USA,Men,5000M,Silver
2002,Salt Lake City,Skating,Speed skating,"HUGHES, Clara",CAN,Women,5000M,Bronze
2002,Salt Lake City,Skating,Speed skating,"PECHSTEIN, Claudia",GER,Women,5000M,Gold
2002,Salt Lake City,Skating,Speed skating,"SMIT, Gretha",NED,Women,5000M,Silver
2002,Salt Lake City,Skating,Speed skating,"CARPENTER, Kip",USA,Men,500M,Bronze
2002,Salt Lake City,Skating,Speed skating,"FITZRANDOLPH, Casey",USA,Men,500M,Gold
2002,Salt Lake City,Skating,Speed skating,"SHIMIZU, Hiroyasu",JPN,Men,500M,Silver
2002,Salt Lake City,Skating,Speed skating,"VOELKER, Sabine",GER,Women,500M,Bronze
2002,Salt Lake City,Skating,Speed skating,"LEMAY DOAN, Catriona",CAN,Women,500M,Gold
2002,Salt Lake City,Skating,Speed skating,"GARBRECHT-ENFELDT, Monique",GER,Women,500M,Silver
2006,Turin,Skating,Speed skating,"VERHEIJEN, Carl",NED,Men,10000M,Bronze
2006,Turin,Skating,Speed skating,"de JONG, Bob",NED,Men,10000M,Gold
2006,Turin,Skating,Speed skating,"HEDRICK, Chad",USA,Men,10000M,Silver
2006,Turin,Skating,Speed skating,"WENNEMARS, Erben",NED,Men,1000M,Bronze
2006,Turin,Skating,Speed skating,"DAVIS, Shani",USA,Men,1000M,Gold
2006,Turin,Skating,Speed skating,"CHEEK, Joey",USA,Men,1000M,Silver
2006,Turin,Skating,Speed skating,"FRIESINGER-POSTMA, Anna",GER,Women,1000M,Bronze
2006,Turin,Skating,Speed skating,"TIMMER, Marianne",NED,Women,1000M,Gold
2006,Turin,Skating,Speed skating,"KLASSEN, Cindy",CAN,Women,1000M,Silver
2006,Turin,Skating,Speed skating,"HEDRICK, Chad",USA,Men,1500M,Bronze
2006,Turin,Skating,Speed skating,"FABRIS, Enrico",ITA,Men,1500M,Gold
2006,Turin,Skating,Speed skating,"DAVIS, Shani",USA,Men,1500M,Silver
2006,Turin,Skating,Speed skating,"WUST, Ireen",NED,Women,1500M,Bronze
2006,Turin,Skating,Speed skating,"KLASSEN, Cindy",CAN,Women,1500M,Gold
2006,Turin,Skating,Speed skating,"GROVES, Kristina",CAN,Women,1500M,Silver
2006,Turin,Skating,Speed skating,"KLASSEN, Cindy",CAN,Women,3000M,Bronze
2006,Turin,Skating,Speed skating,"WUST, Ireen",NED,Women,3000M,Gold
2006,Turin,Skating,Speed skating,"GROENEWOLD, Renate",NED,Women,3000M,Silver
2006,Turin,Skating,Speed skating,"FABRIS, Enrico",ITA,Men,5000M,Bronze
2006,Turin,Skating,Speed skating,"HEDRICK, Chad",USA,Men,5000M,Gold
2006,Turin,Skating,Speed skating,"KRAMER, Sven",NED,Men,5000M,Silver
2006,Turin,Skating,Speed skating,"KLASSEN, Cindy",CAN,Women,5000M,Bronze
2006,Turin,Skating,Speed skating,"HUGHES, Clara",CAN,Women,5000M,Gold
2006,Turin,Skating,Speed skating,"PECHSTEIN, Claudia",GER,Women,5000M,Silver
2006,Turin,Skating,Speed skating,"LEE, Kang Seok",KOR,Men,500M,Bronze
2006,Turin,Skating,Speed skating,"CHEEK, Joey",USA,Men,500M,Gold
2006,Turin,Skating,Speed skating,"DOROFEYEV, Dmitry",RUS,Men,500M,Silver
2006,Turin,Skating,Speed skating,"REN, Hui",CHN,Women,500M,Bronze
2006,Turin,Skating,Speed skating,"ZHUROVA, Svetlana",RUS,Women,500M,Gold
2006,Turin,Skating,Speed skating,"WANG, Manli",CHN,Women,500M,Silver
2006,Turin,Skating,Speed skating,"KRAMER, Sven",NED,Men,Team Pursuit,Bronze
2006,Turin,Skating,Speed skating,"RITSMA, Rintje",NED,Men,Team Pursuit,Bronze
2006,Turin,Skating,Speed skating,"TUITERT, Mark",NED,Men,Team Pursuit,Bronze
2006,Turin,Skating,Speed skating,"VERHEIJEN, Carl",NED,Men,Team Pursuit,Bronze
2006,Turin,Skating,Speed skating,"WENNEMARS, Erben",NED,Men,Team Pursuit,Bronze
2006,Turin,Skating,Speed skating,"ANESI, Matteo",ITA,Men,Team Pursuit,Gold
2006,Turin,Skating,Speed skating,"DONAGRANDI, Stefano",ITA,Men,Team Pursuit,Gold
2006,Turin,Skating,Speed skating,"FABRIS, Enrico",ITA,Men,Team Pursuit,Gold
2006,Turin,Skating,Speed skating,"SANFRATELLO, Ippolito",ITA,Men,Team Pursuit,Gold
2006,Turin,Skating,Speed skating,"DANKERS, Arne",CAN,Men,Team Pursuit,Silver
2006,Turin,Skating,Speed skating,"ELM, Steven",CAN,Men,Team Pursuit,Silver
2006,Turin,Skating,Speed skating,"MORRISON, Denny",CAN,Men,Team Pursuit,Silver
2006,Turin,Skating,Speed skating,"PARKER, Jason",CAN,Men,Team Pursuit,Silver
2006,Turin,Skating,Speed skating,"WARSYLEWICZ, Justin",CAN,Men,Team Pursuit,Silver
2006,Turin,Skating,Speed skating,"ABRAMOVA, Yekaterina",RUS,Women,Team Pursuit,Bronze
2006,Turin,Skating,Speed skating,"BARYSHEVA, Varvara",RUS,Women,Team Pursuit,Bronze
2006,Turin,Skating,Speed skating,"LIKHACHOVA, Galina",RUS,Women,Team Pursuit,Bronze
2006,Turin,Skating,Speed skating,"LOBYSHEVA, Yekaterina",RUS,Women,Team Pursuit,Bronze
2006,Turin,Skating,Speed skating,"VYSOKOVA, Svetlana",RUS,Women,Team Pursuit,Bronze
2006,Turin,Skating,Speed skating,"ANSCHUETZ THOMS, Daniela",GER,Women,Team Pursuit,Gold
2006,Turin,Skating,Speed skating,"FRIESINGER-POSTMA, Anna",GER,Women,Team Pursuit,Gold
2006,Turin,Skating,Speed skating,"OPITZ, Lucille",GER,Women,Team Pursuit,Gold
2006,Turin,Skating,Speed skating,"PECHSTEIN, Claudia",GER,Women,Team Pursuit,Gold
2006,Turin,Skating,Speed skating,"VOELKER, Sabine",GER,Women,Team Pursuit,Gold
2006,Turin,Skating,Speed skating,"GROVES, Kristina",CAN,Women,Team Pursuit,Silver
2006,Turin,Skating,Speed skating,"HUGHES, Clara",CAN,Women,Team Pursuit,Silver
2006,Turin,Skating,Speed skating,"KLASSEN, Cindy",CAN,Women,Team Pursuit,Silver
2006,Turin,Skating,Speed skating,"NESBITT, Christine",CAN,Women,Team Pursuit,Silver
2006,Turin,Skating,Speed skating,"REMPEL, Shannon",CAN,Women,Team Pursuit,Silver
2010,Vancouver,Skating,Speed skating,"de JONG, Bob",NED,Men,10000M,Bronze
2010,Vancouver,Skating,Speed skating,"LEE, Seung-Hoon",KOR,Men,10000M,Gold
2010,Vancouver,Skating,Speed skating,"SKOBREV, Ivan",RUS,Men,10000M,Silver
2010,Vancouver,Skating,Speed skating,"HEDRICK, Chad",USA,Men,1000M,Bronze
2010,Vancouver,Skating,Speed skating,"DAVIS, Shani",USA,Men,1000M,Gold
2010,Vancouver,Skating,Speed skating,"MO, Tae-Bum",KOR,Men,1000M,Silver
2010,Vancouver,Skating,Speed skating,"van RIESSEN, Laurine",NED,Women,1000M,Bronze
2010,Vancouver,Skating,Speed skating,"NESBITT, Christine",CAN,Women,1000M,Gold
2010,Vancouver,Skating,Speed skating,"GERRITSEN, Annette",NED,Women,1000M,Silver
2010,Vancouver,Skating,Speed skating,"BOKKO, Havard",NOR,Men,1500M,Bronze
2010,Vancouver,Skating,Speed skating,"TUITERT, Mark",NED,Men,1500M,Gold
2010,Vancouver,Skating,Speed skating,"DAVIS, Shani",USA,Men,1500M,Silver
2010,Vancouver,Skating,Speed skating,"SABLIKOVA, Martina",CZE,Women,1500M,Bronze
2010,Vancouver,Skating,Speed skating,"WUST, Ireen",NED,Women,1500M,Gold
2010,Vancouver,Skating,Speed skating,"GROVES, Kristina",CAN,Women,1500M,Silver
2010,Vancouver,Skating,Speed skating,"GROVES, Kristina",CAN,Women,3000M,Bronze
2010,Vancouver,Skating,Speed skating,"SABLIKOVA, Martina",CZE,Women,3000M,Gold
2010,Vancouver,Skating,Speed skating,"BECKERT, Stephanie",GER,Women,3000M,Silver
2010,Vancouver,Skating,Speed skating,"SKOBREV, Ivan",RUS,Men,5000M,Bronze
2010,Vancouver,Skating,Speed skating,"KRAMER, Sven",NED,Men,5000M,Gold
2010,Vancouver,Skating,Speed skating,"LEE, Seung-Hoon",KOR,Men,5000M,Silver
2010,Vancouver,Skating,Speed skating,"HUGHES, Clara",CAN,Women,5000M,Bronze
2010,Vancouver,Skating,Speed skating,"SABLIKOVA, Martina",CZE,Women,5000M,Gold
2010,Vancouver,Skating,Speed skating,"BECKERT, Stephanie",GER,Women,5000M,Silver
2010,Vancouver,Skating,Speed skating,"KATO, Joji",JPN,Men,500M,Bronze
2010,Vancouver,Skating,Speed skating,"MO, Tae-Bum",KOR,Men,500M,Gold
2010,Vancouver,Skating,Speed skating,"NAGASHIMA, Keiichiro",JPN,Men,500M,Silver
2010,Vancouver,Skating,Speed skating,"WANG, Beixing",CHN,Women,500M,Bronze
2010,Vancouver,Skating,Speed skating,"LEE, Sang-Hwa",KOR,Women,500M,Gold
2010,Vancouver,Skating,Speed skating,"WOLF, Jenny",GER,Women,500M,Silver
2010,Vancouver,Skating,Speed skating,"BLOKHUIJSEN, Jan",NED,Men,Team Pursuit,Bronze
2010,Vancouver,Skating,Speed skating,"KRAMER, Sven",NED,Men,Team Pursuit,Bronze
2010,Vancouver,Skating,Speed skating,"KUIPERS, Simon",NED,Men,Team Pursuit,Bronze
2010,Vancouver,Skating,Speed skating,"TUITERT, Mark",NED,Men,Team Pursuit,Bronze
2010,Vancouver,Skating,Speed skating,"GIROUX, Mathieu",CAN,Men,Team Pursuit,Gold
2010,Vancouver,Skating,Speed skating,"MAKOWSKY, Lucas",CAN,Men,Team Pursuit,Gold
2010,Vancouver,Skating,Speed skating,"MORRISON, Denny",CAN,Men,Team Pursuit,Gold
2010,Vancouver,Skating,Speed skating,"HANSEN, Brian",USA,Men,Team Pursuit,Silver
2010,Vancouver,Skating,Speed skating,"HEDRICK, Chad",USA,Men,Team Pursuit,Silver
2010,Vancouver,Skating,Speed skating,"KUCK, Jonathan",USA,Men,Team Pursuit,Silver
2010,Vancouver,Skating,Speed skating,"MARSICANO, Trevor",USA,Men,Team Pursuit,Silver
2010,Vancouver,Skating,Speed skating,"BACHLEDA-CURUS, Katarzyna",POL,Women,Team Pursuit,Bronze
2010,Vancouver,Skating,Speed skating,"WOZNIAK, Katarzyna",POL,Women,Team Pursuit,Bronze
2010,Vancouver,Skating,Speed skating,"ZLOTKOWSKA, Luiza",POL,Women,Team Pursuit,Bronze
2010,Vancouver,Skating,Speed skating,"ANSCHUTZ THOMS, Daniela",GER,Women,Team Pursuit,Gold
2010,Vancouver,Skating,Speed skating,"BECKERT, Stephanie",GER,Women,Team Pursuit,Gold
2010,Vancouver,Skating,Speed skating,"FRIESINGER-POSTMA, Anna",GER,Women,Team Pursuit,Gold
2010,Vancouver,Skating,Speed skating,"MATTSCHERODT, Katrin",GER,Women,Team Pursuit,Gold
2010,Vancouver,Skating,Speed skating,"HOZUMI, Masako",JPN,Women,Team Pursuit,Silver
2010,Vancouver,Skating,Speed skating,"KODAIRA, Nao",JPN,Women,Team Pursuit,Silver
2010,Vancouver,Skating,Speed skating,"TABATA, Maki",JPN,Women,Team Pursuit,Silver
2014,Sochi,Skating,Speed skating,"BERGSMA, Jorrit",NED,Men,10000M,Gold
2014,Sochi,Skating,Speed skating,"DE JONG, Bob",NED,Men,10000M,Bronze
2014,Sochi,Skating,Speed skating,"KRAMER, Sven",NED,Men,10000M,Silver
2014,Sochi,Skating,Speed skating,"MORRISON, Denny",CAN,Men,1000M,Silver
2014,Sochi,Skating,Speed skating,"GROOTHUIS, Stefan",NED,Men,1000M,Gold
2014,Sochi,Skating,Speed skating,"MULDER, Michel",NED,Men,1000M,Bronze
2014,Sochi,Skating,Speed skating,"MORRISON, Denny",CAN,Men,1500M,Bronze
2014,Sochi,Skating,Speed skating,"VERWEIJ, Koen",NED,Men,1500M,Silver
2014,Sochi,Skating,Speed skating,"BRODKA, Zbigniew",POL,Men,1500M,Gold
2014,Sochi,Skating,Speed skating,"BERGSMA, Jorrit",NED,Men,5000M,Bronze
2014,Sochi,Skating,Speed skating,"BLOKHUIJSEN, Jan",NED,Men,5000M,Silver
2014,Sochi,Skating,Speed skating,"KRAMER, Sven",NED,Men,5000M,Gold
2014,Sochi,Skating,Speed skating,"MULDER, Michel",NED,Men,500M,Gold
2014,Sochi,Skating,Speed skating,"MULDER, Ronald",NED,Men,500M,Bronze
2014,Sochi,Skating,Speed skating,"SMEEKENS, Jan",NED,Men,500M,Silver
2014,Sochi,Skating,Speed skating,"JOO, Hyong Jun",KOR,Men,Team Pursuit,Silver
2014,Sochi,Skating,Speed skating,"KIM, Cheol Min",KOR,Men,Team Pursuit,Silver
2014,Sochi,Skating,Speed skating,"LEE, Seung Hoon",KOR,Men,Team Pursuit,Silver
2014,Sochi,Skating,Speed skating,"BLOKHUIJSEN, Jan",NED,Men,Team Pursuit,Gold
2014,Sochi,Skating,Speed skating,"KRAMER, Sven",NED,Men,Team Pursuit,Gold
2014,Sochi,Skating,Speed skating,"VERWEIJ, Koen",NED,Men,Team Pursuit,Gold
2014,Sochi,Skating,Speed skating,"BRODKA, Zbigniew",POL,Men,Team Pursuit,Bronze
2014,Sochi,Skating,Speed skating,"NIEDZWIEDZKI, Konrad",POL,Men,Team Pursuit,Bronze
2014,Sochi,Skating,Speed skating,"SZYMANSKI, Jan",POL,Men,Team Pursuit,Bronze
2014,Sochi,Skating,Speed skating,"ZHANG, Hong",CHN,Women,1000M,Gold
2014,Sochi,Skating,Speed skating,"BOER, Margot",NED,Women,1000M,Bronze
2014,Sochi,Skating,Speed skating,"WÜST, Ireen",NED,Women,1000M,Silver
2014,Sochi,Skating,Speed skating,"TER MORS, Jorien",NED,Women,1500M,Gold
2014,Sochi,Skating,Speed skating,"van BEEK, Lotte",NED,Women,1500M,Bronze
2014,Sochi,Skating,Speed skating,"WÜST, Ireen",NED,Women,1500M,Silver
2014,Sochi,Skating,Speed skating,"SABLIKOVA, Martina",CZE,Women,3000M,Silver
2014,Sochi,Skating,Speed skating,"WÜST, Ireen",NED,Women,3000M,Gold
2014,Sochi,Skating,Speed skating,"GRAF, Olga",RUS,Women,3000M,Bronze
2014,Sochi,Skating,Speed skating,"SABLIKOVA, Martina",CZE,Women,5000M,Gold
2014,Sochi,Skating,Speed skating,"KLEIBEUKER, Carien",NED,Women,5000M,Bronze
2014,Sochi,Skating,Speed skating,"WÜST, Ireen",NED,Women,5000M,Silver
2014,Sochi,Skating,Speed skating,"LEE, Sang Hwa",KOR,Women,500M,Gold
2014,Sochi,Skating,Speed skating,"BOER, Margot",NED,Women,500M,Bronze
2014,Sochi,Skating,Speed skating,"FATKULINA, Olga",RUS,Women,500M,Silver
2014,Sochi,Skating,Speed skating,"LEENSTRA, Marrit",NED,Women,Team Pursuit,Gold
2014,Sochi,Skating,Speed skating,"TER MORS, Jorien",NED,Women,Team Pursuit,Gold
2014,Sochi,Skating,Speed skating,"van BEEK, Lotte",NED,Women,Team Pursuit,Gold
2014,Sochi,Skating,Speed skating,"WÜST, Ireen",NED,Women,Team Pursuit,Gold
2014,Sochi,Skating,Speed skating,"BACHLEDA-CURUS, Katarzyna",POL,Women,Team Pursuit,Silver
2014,Sochi,Skating,Speed skating,"CZERWONKA, Natalia",POL,Women,Team Pursuit,Silver
2014,Sochi,Skating,Speed skating,"WOZNIAK, Katarzyna",POL,Women,Team Pursuit,Silver
2014,Sochi,Skating,Speed skating,"ZLOTKOWSKA, Luiza",POL,Women,Team Pursuit,Silver
2014,Sochi,Skating,Speed skating,"GRAF, Olga",RUS,Women,Team Pursuit,Bronze
2014,Sochi,Skating,Speed skating,"LOBYSHEVA, Yekaterina",RUS,Women,Team Pursuit,Bronze
2014,Sochi,Skating,Speed skating,"SHIKHOVA, Yekaterina",RUS,Women,Team Pursuit,Bronze
2014,Sochi,Skating,Speed skating,"SKOKOVA, Yuliya",RUS,Women,Team Pursuit,Bronze